地区,时间,温度,风向,风级,降水量,相对湿度,空气质量
北京,06,21,西北风,2,0,43,16
北京,07,21,北风,2,0,44,19
北京,08,23,西北风,2,0,40,20
北京,09,24,北风,3,0,38,21
北京,10,25,北风,3,0,36,18
北京,11,26,北风,3,0,36,19
北京,12,26,北风,3,0,35,20
北京,13,27,西北风,3,0,34,21
北京,14,28,西北风,3,0,30,20
北京,15,28,西北风,3,0,29,22
北京,16,29,西北风,3,0,27,22
北京,17,28,北风,3,0,28,22
北京,18,26,东北风,3,0,35,22
北京,19,25,北风,1,0,43,20
北京,20,23,西南风,1,0,50,23
北京,21,22,西风,1,0,55,29
北京,22,21,西北风,1,0,60,31
北京,23,20,东北风,1,0,65,38
北京,00,19,北风,1,0,71,36
北京,01,18,北风,1,0,78,36
北京,02,17,北风,1,0,79,39
北京,03,17,东北风,1,0,83,35
北京,04,16,西南风,1,0,86,32
北京,05,,,,,,
上海,06,24,北风,0,0,87,80
上海,07,24,北风,1,0,75,74
上海,08,26,北风,1,0,67,64
上海,09,28,东北风,1,0,56,
上海,10,29,北风,1,0,49,55
上海,11,30,东北风,1,0,45,54
上海,12,30,东北风,1,0,48,62
上海,13,32,北风,1,0,39,87
上海,14,32,西风,1,0,29,93
上海,15,31,东北风,1,0,38,103
上海,16,31,北风,0,0,41,103
上海,17,30,北风,0,0,42,103
上海,18,30,北风,0,0,44,99
上海,19,29,北风,0,0,47,77
上海,20,28,北风,0,0,48,62
上海,21,27,北风,0,0,48,63
上海,22,27,北风,0,0,54,66
上海,23,27,北风,0,0,65,72
上海,00,26,北风,0,0,70,78
上海,01,26,北风,0,0,75,78
上海,02,25,北风,0,0,76,88
上海,03,25,北风,0,0,78,79
上海,04,25,北风,0,0,79,77
上海,05,,,,,,
天津,06,20,西北风,3,0,49,21
天津,07,20,北风,3,0,50,23
天津,08,21,北风,3,0,49,27
天津,09,21,北风,3,0,50,30
天津,10,23,西北风,3,0,48,30
天津,11,25,北风,3,0,41,26
天津,12,26,北风,3,0,38,24
天津,13,27,西北风,3,0,36,28
天津,14,27,西北风,3,0,36,29
天津,15,28,北风,3,0,33,29
天津,16,27,西北风,3,0,32,29
天津,17,28,北风,3,0,30,28
天津,18,27,西北风,3,0,32,26
天津,19,26,北风,3,0,35,27
天津,20,24,北风,2,0,41,44
天津,21,23,西北风,1,0,44,34
天津,22,22,南风,1,0,51,39
天津,23,22,南风,1,0,52,46
天津,00,21,南风,1,0,58,44
天津,01,20,西风,1,0,63,41
天津,02,20,西南风,1,0,62,39
天津,03,20,东南风,1,0,64,46
天津,04,19,西南风,1,0,63,51
天津,05,,,,,,
重庆,06,26,西北风,2,0,82,54
重庆,07,26,西北风,2,0,82,
重庆,08,26,西北风,1,0,80,57
重庆,09,27,西南风,1,0,80,57
重庆,10,27,西南风,1,0,76,55
重庆,11,27,西南风,1,0,79,57
重庆,12,27,西南风,1,0,76,57
重庆,13,27,西北风,2,0,78,57
重庆,14,26,西风,2,0.1,84,55
重庆,15,25,南风,1,2.5,92,55
重庆,16,25,东南风,1,1.3,89,52
重庆,17,25,东南风,1,3,89,45
重庆,18,25,东风,1,0,83,32
重庆,19,25,南风,1,0,84,25
重庆,20,25,东风,1,0,80,22
重庆,21,25,北风,1,0,80,19
重庆,22,25,北风,1,0,79,20
重庆,23,25,北风,1,0,76,18
重庆,00,25,东北风,1,0,74,19
重庆,01,25,西北风,1,0,79,19
重庆,02,25,西北风,1,0,81,19
重庆,03,24,西北风,1,0,81,19
重庆,04,23,东南风,1,0.1,85,20
重庆,05,,,,,,
哈尔滨,06,19,北风,3,0,97,32
哈尔滨,07,19,北风,2,0,97,32
哈尔滨,08,19,北风,3,0,96,35
哈尔滨,09,18,北风,2,0.2,99,32
哈尔滨,10,18,北风,3,0.9,99,26
哈尔滨,11,19,北风,3,0.5,99,27
哈尔滨,12,19,北风,4,2.3,99,21
哈尔滨,13,18,北风,5,10.3,99,17
哈尔滨,14,18,北风,5,11.3,99,20
哈尔滨,15,18,北风,6,9,99,19
哈尔滨,16,18,北风,6,9.1,99,18
哈尔滨,17,17,东北风,6,11.9,99,18
哈尔滨,18,17,东北风,6,7,99,19
哈尔滨,19,17,东北风,5,2.4,99,19
哈尔滨,20,18,东北风,4,2.2,99,17
哈尔滨,21,18,东风,2,0.2,99,13
哈尔滨,22,20,东南风,3,0.9,99,10
哈尔滨,23,19,南风,4,0.1,96,14
哈尔滨,00,17,南风,4,0,99,17
哈尔滨,01,17,西南风,5,0,99,19
哈尔滨,02,16,西南风,5,0,97,13
哈尔滨,03,15,西南风,5,0,98,13
哈尔滨,04,15,西南风,5,0,98,14
哈尔滨,05,,,,,,
齐齐哈尔,06,14,北风,2,0,97,16
齐齐哈尔,07,15,东北风,2,0,95,23
齐齐哈尔,08,16,北风,3,0,93,24
齐齐哈尔,09,16,北风,3,0,88,33
齐齐哈尔,10,17,东北风,3,0,83,39
齐齐哈尔,11,17,东北风,3,0,82,39
齐齐哈尔,12,18,东北风,3,0,83,27
齐齐哈尔,13,19,东北风,3,0,78,29
齐齐哈尔,14,19,东北风,3,0,76,30
齐齐哈尔,15,18,东北风,3,0,77,35
齐齐哈尔,16,17,东北风,3,0.8,88,30
齐齐哈尔,17,17,东北风,4,1.4,93,19
齐齐哈尔,18,16,北风,4,2.7,96,10
齐齐哈尔,19,16,北风,4,3.6,95,11
齐齐哈尔,20,16,北风,5,2.4,95,8
齐齐哈尔,21,16,北风,5,5.6,95,10
齐齐哈尔,22,16,北风,5,7.1,96,12
齐齐哈尔,23,16,北风,5,8.3,96,12
齐齐哈尔,00,15,北风,5,10.4,97,13
齐齐哈尔,01,15,北风,5,7.4,96,14
齐齐哈尔,02,15,北风,5,6.2,96,15
齐齐哈尔,03,15,北风,4,7.2,97,16
齐齐哈尔,04,15,北风,5,10,97,16
齐齐哈尔,05,,,,,,
牡丹江,06,19,北风,1,2.8,97,12
牡丹江,07,19,东北风,3,3.4,96,9
牡丹江,08,18,东北风,3,1.1,93,11
牡丹江,09,18,东北风,4,0.1,92,12
牡丹江,10,19,东北风,4,0,91,14
