地区,日期,最高温度,最低温度
北京,2011年01月01日,0,-9
北京,2011年01月02日,-2,-7
北京,2011年01月03日,1,-8
北京,2011年01月04日,-1,-11
北京,2011年01月05日,-1,-8
北京,2011年01月06日,0,-10
北京,2011年01月07日,1,-7
北京,2011年01月08日,1,-8
北京,2011年01月09日,-1,-10
北京,2011年01月10日,-1,-7
北京,2011年01月11日,-1,-11
北京,2011年01月12日,0,-8
北京,2011年01月13日,1,-7
北京,2011年01月14日,-1,-10
北京,2011年01月15日,3,-4
北京,2011年01月16日,-1,-9
北京,2011年01月17日,-1,-9
北京,2011年01月18日,-1,-10
北京,2011年01月19日,0,-9
北京,2011年01月20日,0,-7
北京,2011年01月21日,1,-7
北京,2011年01月22日,0,-9
北京,2011年01月23日,-1,-10
北京,2011年01月24日,0,-9
北京,2011年01月25日,0,-10
北京,2011年01月26日,0,-8
北京,2011年01月27日,2,-7
北京,2011年01月28日,4,-7
北京,2011年01月29日,-1,-10
北京,2011年01月30日,3,-7
北京,2011年01月31日,4,-2
北京,2011年02月01日,4,-8
北京,2011年02月02日,9,-4
北京,2011年02月03日,0,-5
北京,2011年02月04日,2,-7
北京,2011年02月05日,1,-5
北京,2011年02月06日,9,-1
北京,2011年02月07日,8,-4
北京,2011年02月08日,-2,-9
北京,2011年02月09日,0,-6
北京,2011年02月10日,0,-10
北京,2011年02月11日,1,-10
北京,2011年02月12日,-3,-6
北京,2011年02月13日,10,-3
北京,2011年02月14日,1,-7
北京,2011年02月15日,4,-6
北京,2011年02月16日,5,-4
北京,2011年02月17日,9,-2
北京,2011年02月18日,3,-8
北京,2011年02月19日,10,-3
北京,2011年02月20日,10,-3
北京,2011年02月21日,10,-1
北京,2011年02月22日,9,0
北京,2011年02月23日,9,3
北京,2011年02月24日,10,-1
北京,2011年02月25日,7,-1
北京,2011年02月26日,2,-3
北京,2011年02月27日,2,-5
北京,2011年02月28日,6,-4
北京,2011年03月01日,5,-3
北京,2011年03月02日,6,-2
北京,2011年03月03日,9,-4
北京,2011年03月04日,11,0
北京,2011年03月05日,13,1
北京,2011年03月06日,10,-1
北京,2011年03月07日,10,-1
北京,2011年03月08日,10,-1
北京,2011年03月09日,11,-1
北京,2011年03月10日,15,1
北京,2011年03月11日,17,3
北京,2011年03月12日,19,7
北京,2011年03月13日,17,3
北京,2011年03月14日,9,1
北京,2011年03月15日,9,-2
北京,2011年03月16日,13,0
北京,2011年03月17日,16,5
北京,2011年03月18日,14,0
北京,2011年03月19日,13,3
北京,2011年03月20日,11,3
北京,2011年03月21日,8,-1
北京,2011年03月22日,10,-1
北京,2011年03月23日,11,1
北京,2011年03月24日,12,0
北京,2011年03月25日,12,1
北京,2011年03月26日,15,1
北京,2011年03月27日,16,2
北京,2011年03月28日,17,4
北京,2011年03月29日,19,4
北京,2011年03月30日,22,7
北京,2011年03月31日,22,7
北京,2011年04月01日,10,4
北京,2011年04月02日,13,1
北京,2011年04月03日,16,3
北京,2011年04月04日,20,5
北京,2011年04月05日,19,9
北京,2011年04月06日,19,8
北京,2011年04月07日,19,5
北京,2011年04月08日,20,7
北京,2011年04月09日,21,11
北京,2011年04月10日,16,4
北京,2011年04月11日,22,7
北京,2011年04月12日,26,9
北京,2011年04月13日,26,12
北京,2011年04月14日,28,15
北京,2011年04月15日,25,8
北京,2011年04月16日,25,14
北京,2011年04月17日,19,9
北京,2011年04月18日,21,8
北京,2011年04月19日,24,11
北京,2011年04月20日,25,14
北京,2011年04月21日,17,7
北京,2011年04月22日,20,8
北京,2011年04月23日,18,9
北京,2011年04月24日,22,11
北京,2011年04月25日,18,9
北京,2011年04月26日,17,8
北京,2011年04月27日,23,9
北京,2011年04月28日,24,12
北京,2011年04月29日,22,12
北京,2011年04月30日,21,13
北京,2011年05月01日,25,13
北京,2011年05月02日,25,11
北京,2011年05月03日,24,14
北京,2011年05月04日,19,13
北京,2011年05月05日,23,13
北京,2011年05月06日,26,12
北京,2011年05月07日,26,15
北京,2011年05月08日,19,12
北京,2011年05月09日,26,16
北京,2011年05月10日,26,13
北京,2011年05月11日,28,12
北京,2011年05月12日,23,13
北京,2011年05月13日,27,15
北京,2011年05月14日,30,15
北京,2011年05月15日,26,13
北京,2011年05月16日,28,14
北京,2011年05月17日,29,16
北京,2011年05月18日,31,17
北京,2011年05月19日,25,16
北京,2011年05月20日,23,13
北京,2011年05月21日,26,12
北京,2011年05月22日,29,15
北京,2011年05月23日,31,16
北京,2011年05月24日,28,18
北京,2011年05月25日,27,18
北京,2011年05月26日,28,16
