地区,时间,温度,风向,风级,降水量,相对湿度,空气质量
北京,09h,25,东北风,2,0,58,34
北京,10h,26,北风,2,0,55,37
北京,11h,27,东南风,1,0.0,51,33
北京,12h,29,西风,2,0.0,43,30
北京,13h,30,东风,2,0.0,37,35
北京,14h,31,南风,3,0.0,38,36
北京,15h,31,东北风,2,0.0,36,35
北京,16h,31,东风,3,0.0,37,35
北京,17h,31,东北风,2,0.0,38,35
北京,18h,30,东风,2,0.0,42,32
北京,19h,28,东南风,2,0.0,50,49
北京,20h,26,西南风,1,0.0,51,25
北京,21h,26,西风,2,0.0,52,24
北京,22h,26,西风,2,0.0,51,23
北京,23h,25,东南风,2,0.0,54,21
北京,00h,24,西风,1,0.0,55,21
北京,01h,22,西南风,1,0.0,63,24
北京,02h,21,东风,1,0.0,71,26
北京,03h,20,西南风,1,0.0,73,27
北京,04h,20,南风,1,0.0,77,23
北京,05h,20,西风,1,0.0,78,25
北京,06h,19,西南风,1,0.0,81,24
北京,07h,21,西南风,1,0.0,76,20
上海,09h,29,西风,0,0,56,77
上海,10h,31,西风,0,0,51,72
上海,11h,32,西风,1,0.0,47,90
上海,12h,32,西风,1,0.0,43,115
上海,13h,33,西风,1,0.0,41,128
上海,14h,33,西风,0,0.0,41,131
上海,15h,33,西风,1,0.0,40,134
上海,16h,33,西风,1,0.1,42,131
上海,17h,32,西风,0,0.0,43,125
上海,18h,31,西南风,0,0.0,46,114
上海,19h,30,西南风,0,0.0,52,92
上海,20h,29,南风,0,0.0,67,83
上海,21h,28,东南风,0,0.0,72,82
上海,22h,28,东南风,0,0.0,79,88
上海,23h,27,东南风,0,0.0,79,89
上海,00h,26,东南风,0,0.0,83,88
上海,01h,25,南风,0,0.0,82,92
上海,02h,26,东风,0,0.0,87,93
上海,03h,26,东风,0,0.0,86,87
上海,04h,26,东北风,0,0.0,90,87
上海,05h,24,东风,0,0.0,92,89
上海,06h,25,东北风,0,0.0,91,88
上海,07h,26,东南风,0,0.0,90,94
天津,09h,24,东风,1,0,85,134
天津,10h,26,北风,1,0,71,132
天津,11h,27,西南风,1,0.0,67,125
天津,12h,29,东南风,2,0.0,55,103
天津,13h,30,西南风,2,0.0,50,100
天津,14h,30,南风,2,0.0,46,108
天津,15h,31,西风,2,0.0,43,107
天津,16h,30,西南风,2,0.0,43,104
天津,17h,30,西南风,2,0.0,40,99
天津,18h,30,南风,1,0.0,41,73
天津,19h,29,南风,1,0.0,52,52
天津,20h,28,西风,1,0.0,58,58
