地区,时间,天气,温度,风向,风级
北京,08日08时,晴,23℃,西北风,<3级
北京,08日11时,晴,27℃,西北风,<3级
北京,08日14时,多云,29℃,西北风,<3级
北京,08日17时,晴,28℃,西北风,<3级
北京,08日20时,晴,25℃,西北风,<3级
北京,08日23时,晴,22℃,北风,<3级
北京,09日02时,晴,19℃,北风,<3级
北京,09日05时,晴,19℃,北风,<3级
北京,09日08时,晴,23℃,北风,<3级
北京,09日11时,晴,26℃,北风,3-4级
北京,09日14时,晴,29℃,北风,<3级
北京,09日17时,晴,29℃,北风,<3级
北京,09日20时,晴,22℃,北风,<3级
北京,09日23时,晴,20℃,北风,<3级
北京,10日02时,晴,19℃,北风,3-4级
北京,10日05时,晴,19℃,北风,<3级
北京,10日08时,晴,20℃,北风,3-4级
北京,10日11时,多云,24℃,北风,3-4级
北京,10日14时,多云,26℃,北风,<3级
北京,10日17时,多云,22℃,北风,<3级
北京,10日20时,多云,22℃,北风,<3级
北京,10日23时,多云,20℃,北风,3-4级
北京,11日02时,多云,19℃,北风,3-4级
北京,11日05时,晴,18℃,北风,3-4级
北京,11日08时,多云,22℃,北风,3-4级
北京,11日14时,晴,25℃,东北风,<3级
北京,11日20时,晴,20℃,东北风,<3级
北京,12日02时,多云,18℃,北风,<3级
北京,12日08时,多云,19℃,北风,<3级
北京,12日14时,多云,26℃,北风,<3级
北京,12日20时,多云,22℃,北风,<3级
北京,13日02时,多云,19℃,东北风,<3级
北京,13日08时,晴,20℃,东北风,<3级
北京,13日14时,晴,26℃,东南风,<3级
北京,13日20时,晴,23℃,东南风,<3级
北京,14日02时,阴,20℃,东南风,<3级
北京,14日08时,阴,20℃,东南风,<3级
北京,14日14时,小雨,26℃,东南风,<3级
北京,14日20时,小雨,21℃,东南风,<3级
北京,15日02时,中雨,20℃,东北风,<3级
上海,08日08时,晴,28℃,南风,<3级
上海,08日11时,晴,34℃,南风,<3级
上海,08日14时,晴,35℃,南风,<3级
上海,08日17时,晴,33℃,南风,3-4级
上海,08日20时,晴,29℃,南风,3-4级
上海,08日23时,晴,26℃,南风,3-4级
上海,09日02时,多云,25℃,南风,<3级
上海,09日05时,晴,24℃,南风,<3级
上海,09日08时,多云,27℃,南风,<3级
上海,09日11时,阴,32℃,南风,<3级
上海,09日14时,阴,33℃,南风,<3级
上海,09日17时,阴,32℃,南风,<3级
上海,09日20时,阴,27℃,南风,<3级
上海,09日23时,阴,26℃,东北风,<3级
上海,10日02时,阴,25℃,东北风,<3级
上海,10日05时,阴,24℃,东北风,<3级
上海,10日08时,阴,25℃,东北风,<3级
上海,10日11时,阴,28℃,东风,<3级
上海,10日14时,阴,30℃,东风,<3级
上海,10日17时,阴,28℃,东风,<3级
上海,10日20时,阴,25℃,东风,<3级
上海,10日23时,多云,25℃,东南风,<3级
上海,11日02时,阴,24℃,东南风,<3级
上海,11日05时,晴,23℃,东南风,<3级
上海,11日08时,中雨,27℃,东南风,<3级
上海,11日14时,多云,27℃,东南风,<3级
上海,11日20时,晴,24℃,东南风,<3级
上海,12日02时,晴,23℃,东风,<3级
上海,12日08时,多云,23℃,东风,<3级
上海,12日14时,阴,27℃,东南风,<3级
上海,12日20时,阴,25℃,东南风,<3级
上海,13日02时,阴,23℃,东风,<3级
上海,13日08时,阴,24℃,东风,<3级
上海,13日14时,多云,28℃,东风,3-4级
上海,13日20时,多云,25℃,东风,3-4级
上海,14日02时,多云,23℃,东风,<3级
上海,14日08时,多云,25℃,东风,3-4级
上海,14日14时,阴,28℃,东风,4-5级
上海,14日20时,阴,25℃,东风,3-4级
上海,15日02时,阴,24℃,东风,3-4级
天津,08日08时,晴,24℃,西北风,<3级
天津,08日11时,晴,30℃,西北风,3-4级
天津,08日14时,晴,30℃,西北风,3-4级
天津,08日17时,晴,29℃,西北风,<3级
天津,08日20时,晴,26℃,西北风,<3级
天津,08日23时,晴,24℃,西北风,<3级
天津,09日02时,晴,23℃,西北风,<3级
天津,09日05时,晴,22℃,西北风,<3级
天津,09日08时,晴,24℃,西北风,<3级
天津,09日11时,晴,28℃,北风,3-4级
天津,09日14时,晴,29℃,北风,<3级
天津,09日17时,晴,28℃,北风,<3级
天津,09日20时,晴,25℃,北风,<3级
天津,09日23时,晴,24℃,北风,<3级
天津,10日02时,晴,23℃,北风,<3级
天津,10日05时,晴,21℃,北风,3-4级
天津,10日08时,晴,22℃,北风,3-4级
天津,10日11时,阴,25℃,北风,3-4级
天津,10日14时,阴,27℃,北风,3-4级
天津,10日17时,阴,24℃,北风,<3级
天津,10日20时,阴,24℃,北风,<3级
天津,10日23时,阴,22℃,北风,3-4级
天津,11日02时,阴,21℃,北风,3-4级
天津,11日05时,阴,20℃,北风,3-4级
天津,11日08时,阴,24℃,北风,3-4级
天津,11日14时,多云,26℃,东北风,3-4级
天津,11日20时,多云,25℃,东北风,3-4级
天津,12日02时,多云,20℃,东北风,3-4级
天津,12日08时,多云,22℃,东北风,3-4级
天津,12日14时,阴,24℃,东北风,3-4级
天津,12日20时,阴,22℃,东北风,3-4级
天津,13日02时,阴,19℃,东北风,3-4级
天津,13日08时,阴,19℃,东北风,3-4级
天津,13日14时,阴,25℃,东南风,<3级
天津,13日20时,阴,20℃,东南风,<3级
天津,14日02时,阴,17℃,东北风,<3级
天津,14日08时,阴,18℃,东北风,<3级
天津,14日14时,小雨,30℃,无持续风向,<3级
天津,14日20时,小雨,25℃,无持续风向,<3级
天津,15日02时,中雨,21℃,无持续风向,<3级
重庆,08日08时,晴,26℃,南风,<3级
重庆,08日11时,多云,30℃,南风,<3级
重庆,08日14时,多云,33℃,南风,<3级
重庆,08日17时,晴,33℃,南风,<3级
重庆,08日20时,多云,29℃,南风,<3级
重庆,08日23时,多云,28℃,东南风,<3级
重庆,09日02时,多云,26℃,东南风,<3级
重庆,09日05时,多云,24℃,东南风,<3级
重庆,09日08时,晴,24℃,东南风,<3级
重庆,09日11时,阴,28℃,东北风,<3级
重庆,09日14时,阴,31℃,东北风,<3级
重庆,09日17时,阴,30℃,东北风,<3级
重庆,09日20时,阴,30℃,东北风,<3级
重庆,09日23时,中雨,29℃,北风,<3级
重庆,10日02时,中雨,27℃,北风,<3级
重庆,10日05时,中雨,26℃,北风,<3级
重庆,10日08时,中雨,25℃,北风,<3级
重庆,10日11时,小雨,26℃,南风,<3级
重庆,10日14时,小雨,26℃,南风,<3级
重庆,10日17时,小雨,26℃,南风,<3级
重庆,10日20时,小雨,25℃,南风,<3级
重庆,10日23时,小雨,24℃,南风,<3级
重庆,11日02时,中雨,24℃,南风,<3级
重庆,11日05时,小雨,24℃,南风,<3级
重庆,11日08时,小雨,24℃,南风,<3级
重庆,11日14时,小雨,24℃,东风,<3级
重庆,11日20时,小雨,24℃,东风,<3级
重庆,12日02时,小雨,23℃,东风,<3级
重庆,12日08时,大雨,23℃,东风,<3级
重庆,12日14时,暴雨,24℃,东北风,<3级
重庆,12日20时,大雨,23℃,东北风,<3级
重庆,13日02时,中雨,22℃,东风,<3级
重庆,13日08时,中雨,21℃,东风,<3级
